date,       link,                  time, program,   solver,             puzzle, format
2024-12-23, 74RngltAGHU,       3m 28.96s, HSC,      nenri,              3x3x3x3, single
2024-12-23, d_slVtr5if8,       3m 20.35s, HSC,      nenri,              3x3x3x3, single
2024-12-24, 5TZEt8wcgrI,          31.58s, -,        cubedude,           phys_2x2x2x2, single
2024-12-26, 4aO2EGDl4ls,          22.39s, HSC,      bilal,              2x2x2x2, ao5
2024-12-27, LavEIkVXQLE,          59.89s, -,        cubedude,           phys_2x2x2x2, ao5
2024-12-28, qu9EeirJkds,       2m 29.64s, HSC,      hana,               3x3x3x3, single
2024-12-30, qFY6j7lAu1M,       9m 06.20s, HSC,      gstout,             3x3x3x3, single
2024-12-31, 902oFaSYGdo,       3m 14.12s, HSC,      josie,              3x3x3x3, single
2024-12-31, 6OUuA9mL7AY,       3m 07.21s, HSC,      josie,              3x3x3x3, single
2025-01-02, S1mfwJeTyLs,       2m 59.81s, HSC,      nenri,              3x3x3x3, single
2025-01-01, Nti2jYxaq3I,       3m 06.95s, HSC,      josie,              3x3x3x3, single
2025-01-02, 1JWeSMu6zEs,       3m 06.88s, HSC,      josie,              3x3x3x3, single
2025-01-02, 6wJ9fMFJCGM,       2m 55.67s, HSC,      josie,              3x3x3x3, single
2025-01-03, 1hbKJDbvQd0,       2m 54.18s, HSC,      josie,              3x3x3x3, single
2025-01-04, dRIqNq7OiDI,          21.84s, HSC,      bilal,              2x2x2x2, ao5
2025-01-05, QVFqRnkALVM,          20.63s, HSC,      bilal,              2x2x2x2, ao5
2025-01-08, nu8QztEdGLs,       2m 51.22s, HSC,      nenri,              3x3x3x3, single
2025-01-12, WqHuBpiUg_k,       2m 43.49s, HSC,      nenri,              3x3x3x3, single
2025-01-14, fgvPZZk83GM,       2m 22.71s, HSC,      hana,               3x3x3x3, single
2025-01-14, jNKjZoHTH7k,       3m 23.43s, HSC,      rowan,              3x3x3x3, single
2025-01-18, skN6skAe4ag,       2m 39.05s, HSC,      nenri,              3x3x3x3, single
2025-01-18, mq-Mp5Mv4cg,       3m 10.89s, HSC,      rowan,              3x3x3x3, single
2025-01-19, SF-Jeax9bII,       7m 17.25s, HSC,      vin,                3x3x3x3, single
2025-01-19, O5jDGq5Mx1Q,       2m 52.08s, HSC,      josie,              3x3x3x3, single
2025-01-22, uOOD6A1FPYc,       2m 50.96s, HSC,      josie,              3x3x3x3, single
2025-01-22, lkU0M9Ad2io,       2m 32.00s, HSC,      josie,              3x3x3x3, single
2025-01-22, _TY8LIE1hLQ,       3m 00.31s, HSC,      rowan,              3x3x3x3, single
2025-01-23, VC8ptyFzTG4,   3h 00m 53.86s, HSC,      cubedude,           7x7x7x7, single
2025-01-24, H2l1ETdKZhQ,      12m 28.54s, HSC,      cali,               3x3x3x3, single
